"Effect_Size_ID","Study_ID","Species_ID","Study_Pop_ID_(1)","Study_Pop_ID_(2)","Treatment_ID","Trait_ID","RNG","First_Author","Title","Publication_Year","Journal","Impact_Factor","Scientific_Name","Ecosystem","First_Population","Second_Population","Type","T1","T2","Treatment_Unit","Category","Measurement","Trait_Unit","Percentage_Transformation","Proportion_Transformation","Plasticity_Category","n_(P1T1)","Mean_(P1T1)","SD_(P1T1)","n_(P1T2)","Mean_(P1T2)","SD_(P1T2)","n_(P2T1)","Mean_(P2T1)","SD_(P2T1)","n_(P2T2)","Mean_(P2T2)","SD_(P2T2)"
491,41,1,41.4,41.5,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,11.04,0.23,40,10.77,0.36,40,11.18,0.34,40,10.79,0.34
492,41,1,41.1,41.2,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 2","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.74,0.34,40,14.04,0.3,40,14.82,0.4,40,14.08,0.4
493,41,1,41.1,41.3,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 3","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.74,0.34,40,14.04,0.3,40,14.73,0.39,40,14.09,0.36
494,41,1,41.1,41.4,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.74,0.34,40,14.04,0.3,40,14.64,0.36,40,13.93,0.46
495,41,1,41.1,41.5,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.74,0.34,40,14.04,0.3,40,14.96,0.33,40,14,0.39
496,41,1,41.2,41.3,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 3","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.82,0.4,40,14.08,0.4,40,14.73,0.39,40,14.09,0.36
497,41,1,41.2,41.4,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.82,0.4,40,14.08,0.4,40,14.64,0.36,40,13.93,0.46
498,41,1,41.2,41.5,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.82,0.4,40,14.08,0.4,40,14.96,0.33,40,14,0.39
499,41,1,41.3,41.4,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 3","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.73,0.39,40,14.09,0.36,40,14.64,0.36,40,13.93,0.46
500,41,1,41.3,41.5,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 3","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.73,0.39,40,14.09,0.36,40,14.96,0.33,40,14,0.39
501,41,1,41.4,41.5,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,14.64,0.36,40,13.93,0.46,40,14.96,0.33,40,14,0.39
502,41,1,41.1,41.2,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 2","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.98,0.3,40,9.49,0.29,40,9.48,0.26,40,10.3,0.28
503,41,1,41.1,41.3,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 3","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.98,0.3,40,9.49,0.29,40,9.91,0.3,40,9.42,0.35
504,41,1,41.1,41.4,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.98,0.3,40,9.49,0.29,40,9.89,0.28,40,9.4,0.3
505,41,1,41.1,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 1","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.98,0.3,40,9.49,0.29,40,10.08,0.3,40,9.37,0.27
506,41,1,41.2,41.3,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 3","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.48,0.26,40,10.3,0.28,40,9.91,0.3,40,9.42,0.35
507,41,1,41.2,41.4,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.48,0.26,40,10.3,0.28,40,9.89,0.28,40,9.4,0.3
508,41,1,41.2,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 2","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.48,0.26,40,10.3,0.28,40,10.08,0.3,40,9.37,0.27
509,41,1,41.3,41.4,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 3","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.91,0.3,40,9.42,0.35,40,9.89,0.28,40,9.4,0.3
510,41,1,41.3,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 3","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.91,0.3,40,9.42,0.35,40,10.08,0.3,40,9.37,0.27
511,41,1,41.4,41.5,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila buzzatii","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.89,0.28,40,9.4,0.3,40,10.08,0.3,40,9.37,0.27
512,41,2,41.1,41.2,1,1,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 2","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.61,0.35,40,10.2,0.43,40,10.54,0.29,40,9.94,0.37
513,41,2,41.1,41.3,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 3","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.61,0.35,40,10.2,0.43,40,10.68,0.29,40,10.2,0.27
514,41,2,41.1,41.4,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 4","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.61,0.35,40,10.2,0.43,40,10.71,0.3,40,9.98,0.35
515,41,2,41.1,41.5,1,1,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 5","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.61,0.35,40,10.2,0.43,40,10.64,0.31,40,10.13,0.27
516,41,2,41.2,41.3,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 3","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.54,0.29,40,9.94,0.37,40,10.68,0.29,40,10.2,0.27
517,41,2,41.2,41.4,1,1,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 4","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.54,0.29,40,9.94,0.37,40,10.71,0.3,40,9.98,0.35
518,41,2,41.2,41.5,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 5","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.54,0.29,40,9.94,0.37,40,10.64,0.31,40,10.13,0.27
519,41,2,41.3,41.4,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 4","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.68,0.29,40,10.2,0.27,40,10.71,0.3,40,9.98,0.35
520,41,2,41.3,41.5,1,1,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 5","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.68,0.29,40,10.2,0.27,40,10.64,0.31,40,10.13,0.27
521,41,2,41.4,41.5,1,1,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Thorax Length","mm x 10","No","No","Developmental",40,10.71,0.3,40,9.98,0.35,40,10.64,0.31,40,10.13,0.27
522,41,2,41.1,41.2,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 2","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.81,0.29,40,12.87,0.39,40,13.72,0.45,40,12.66,0.34
523,41,2,41.1,41.3,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 3","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.81,0.29,40,12.87,0.39,40,13.77,0.33,40,12.92,0.37
524,41,2,41.1,41.4,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.81,0.29,40,12.87,0.39,40,13.66,0.34,40,12.71,0.34
525,41,2,41.1,41.5,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.81,0.29,40,12.87,0.39,40,13.81,0.33,40,12.82,0.39
526,41,2,41.2,41.3,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 3","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.72,0.45,40,12.66,0.34,40,13.77,0.33,40,12.92,0.37
527,41,2,41.2,41.4,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.72,0.45,40,12.66,0.34,40,13.66,0.34,40,12.71,0.34
528,41,2,41.2,41.5,1,2,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.72,0.45,40,12.66,0.34,40,13.81,0.33,40,12.82,0.39
529,41,2,41.3,41.4,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 4","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.77,0.33,40,12.92,0.37,40,13.66,0.34,40,12.71,0.34
530,41,2,41.3,41.5,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.77,0.33,40,12.92,0.37,40,13.81,0.33,40,12.82,0.39
531,41,2,41.4,41.5,1,2,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Wing Length","mm x 10","No","No","Developmental",40,13.66,0.34,40,12.71,0.34,40,13.81,0.33,40,12.82,0.39
532,41,2,41.1,41.2,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 2","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.23,40,8.57,0.25,40,8.62,0.23,40,10.71,0.48
533,41,2,41.1,41.3,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 3","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.23,40,8.57,0.25,40,9.35,0.29,40,8.68,0.24
534,41,2,41.1,41.4,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.23,40,8.57,0.25,40,9.28,0.31,40,8.59,0.23
535,41,2,41.1,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 1","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.23,40,8.57,0.25,40,9.34,0.22,40,8.62,0.28
536,41,2,41.2,41.3,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 3","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,8.62,0.23,40,10.71,0.48,40,9.35,0.29,40,8.68,0.24
537,41,2,41.2,41.4,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,8.62,0.23,40,10.71,0.48,40,9.28,0.31,40,8.59,0.23
538,41,2,41.2,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 2","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,8.62,0.23,40,10.71,0.48,40,9.34,0.22,40,8.62,0.28
539,41,2,41.3,41.4,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 4","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.29,40,8.68,0.24,40,9.28,0.31,40,8.59,0.23
540,41,2,41.3,41.5,1,3,1,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 3","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.35,0.29,40,8.68,0.24,40,9.34,0.22,40,8.62,0.28
541,41,2,41.4,41.5,1,3,2,"Bubliy, O. A.","Variation of life-history and morphometrical traits in Drosophila buzzatii and Drosophila simulans collected along an altitudinal gradient from a Canary island",2005,"Biological Journal of the Linnean Society",2.138,"Drosophila simulans","Terrestrial","Site 4","Site 5","Temperature","25","30","℃","Morphology","Wing Width","mm x 10","No","No","Developmental",40,9.28,0.31,40,8.59,0.23,40,9.34,0.22,40,8.62,0.28
542,42,1,42.1,42.2,1,1,2,"Bochdanovits, Z","Covariation of Larval Gene Expression and Adult Body Size in Natural Populations of Drosophila melanogaster",2003,"Molecular Biology and Evolution",16.24,"Drosophila melanogaster","Terrestrial","Wenatchee","San José","Temperature","17.5","27.5","℃","Morphology","Weight","mg","No","No","Transgenerational",4,1.25241573033708,0.00900069432999192,4,1.02438202247191,0.060642938285456,5,1.02,0.0935160918609181,4,0.873876404494382,0.0214489055324938
543,43,1,43.1,43.2,1,1,1,"Purchase, C. F.","Stock-specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",2001,"Journal of Fish Biology",2.051,"Gadus morhua","Aquatic","Grand Banks","Gulf of Maine","Temperature","2","13","℃","Biochemical Assay","Liver Water Content","%","Yes","No","Acclimation",3,34.708446866485,3.7378317155165,3,29.3242506811989,1.3969674088294,3,33.2697547683924,2.94495832131602,3,27.6893732970027,1.20818802925785
544,43,1,43.1,43.2,1,2,1,"Purchase, C. F.","Stock-specific changes in growth rates, food conversion efficiencies, and energy allocation in response to temperature change in juvenile Atlantic cod",2001,"Journal of Fish Biology",2.051,"Gadus morhua","Aquatic","Grand Banks","Gulf of Maine","Temperature","2","13","℃","Biochemical Assay","Muscle Water Content","%","Yes","No","Acclimation",3,80.8651362984218,0.591431983072303,3,79.9010043041607,0,3,80.4835007173601,0.313111049861816,3,80.7747489239598,1.09588867451633
545,44,1,44.1,44.2,1,1,1,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","Beke","River Warnow","Temperature","4","15","℃","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.57936170212766,0.147379094702929,17,0.573404255319149,0.11667511663982,17,0.476595744680851,0.0798303429640864,17,0.29936170212766,0.0859711385767094
546,44,1,44.1,44.3,1,1,2,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","Beke","Gager/Rugia","Temperature","4","15","℃","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.57936170212766,0.147379094702929,17,0.573404255319149,0.11667511663982,17,0.545106382978723,0.116675116639819,17,0.397659574468085,0.0859711385767085
547,44,1,44.2,44.3,1,1,1,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","River Warnow","Gager/Rugia","Temperature","4","15","℃","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.476595744680851,0.0798303429640864,17,0.29936170212766,0.0859711385767094,17,0.545106382978723,0.116675116639819,17,0.397659574468085,0.0859711385767085
548,44,1,44.1,44.2,2,1,1,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","Beke","River Warnow","Salinity","0.3","20","ppt","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.552553191489362,0.110534321027196,17,0.573404255319149,0.11667511663982,17,0.537659574468085,0.104393525414575,17,0.29936170212766,0.0859711385767094
549,44,1,44.1,44.3,2,1,1,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","Beke","Gager/Rugia","Salinity","0.3","20","ppt","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.552553191489362,0.110534321027196,17,0.573404255319149,0.11667511663982,17,0.463191489361702,0.104393525414575,17,0.397659574468085,0.0859711385767085
550,44,1,44.2,44.3,2,1,1,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","River Warnow","Gager/Rugia","Salinity","0.3","20","ppt","Biochemical Assay","NKA","U/mg protein","No","No","Acclimation",17,0.537659574468085,0.104393525414575,17,0.29936170212766,0.0859711385767094,17,0.463191489361702,0.104393525414575,17,0.397659574468085,0.0859711385767085
551,44,1,44.1,44.2,1,2,2,"Schaarschmidt, T.","A comparison of transport-related gill enzyme activities and tissue-specific free amino acid concentrations of Baltic Sea (brackish water) and freshwater threespine sticklebacks, Gasterosteus aculeatus, after salinity and temperature acclimation",1999,"Marine Biology",2.573,"Gasterosteus aculeatus","Aquatic","Beke","River Warnow","Temperature","4","15","℃","Physiological","Citrate Synthase","U/mg protein","No","No","Acclimation",17,0.237782340862423,0.0228591071646155,17,0.26735112936345,0.022859107164615,17,0.253798767967146,0.0177793055724786,17,0.24394250513347,0.0355586111449572
